task_id,kind,part_or_backmatter,chapter_or_appendix,section_number,title,target_path,source_hint,status,xml_valid,web_build,visual_desktop,visual_narrow,visual_mobile,figures_checked,xref_checked,last_commit,notes
sec-10-7-average-value-and-probability,section,V,10,10.7,Average value and probability,source/chapters/ch10-what-integrals-measure/sections/sec-10-7-average-value-and-probability.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-8-arc-length-and-surface-area-of-revolution,section,V,10,10.8,Arc length and surface area of revolution,source/chapters/ch10-what-integrals-measure/sections/sec-10-8-arc-length-and-surface-area-of-revolution.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-9-chapter-review-and-applications,section,V,10,10.9,Chapter review and applications,source/chapters/ch10-what-integrals-measure/sections/sec-10-9-chapter-review-and-applications.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
ch11-introduction,chapter-introduction,V,11,,Chapter 11 introduction,source/chapters/ch11-techniques-of-integration/ch11-techniques-of-integration.ptx,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-1-integration-by-parts,section,V,11,11.1,Integration by parts,source/chapters/ch11-techniques-of-integration/sections/sec-11-1-integration-by-parts.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-2-trigonometric-integrals,section,V,11,11.2,Trigonometric integrals,source/chapters/ch11-techniques-of-integration/sections/sec-11-2-trigonometric-integrals.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-3-trigonometric-substitution,section,V,11,11.3,Trigonometric substitution,source/chapters/ch11-techniques-of-integration/sections/sec-11-3-trigonometric-substitution.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-4-rational-functions-and-partial-fractions,section,V,11,11.4,Rational functions and partial fractions,source/chapters/ch11-techniques-of-integration/sections/sec-11-4-rational-functions-and-partial-fractions.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-5-strategy-for-integration,section,V,11,11.5,Strategy for integration,source/chapters/ch11-techniques-of-integration/sections/sec-11-5-strategy-for-integration.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-6-computer-algebra-systems-and-integral-tables,section,V,11,11.6,Computer algebra systems and integral tables,source/chapters/ch11-techniques-of-integration/sections/sec-11-6-computer-algebra-systems-and-integral-tables.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-7-improper-integrals,section,V,11,11.7,Improper integrals,source/chapters/ch11-techniques-of-integration/sections/sec-11-7-improper-integrals.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-8-warning-examples,section,V,11,11.8,Warning examples,source/chapters/ch11-techniques-of-integration/sections/sec-11-8-warning-examples.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
sec-11-9-chapter-review-and-discovery-problems,section,V,11,11.9,Chapter review and discovery problems,source/chapters/ch11-techniques-of-integration/sections/sec-11-9-chapter-review-and-discovery-problems.xml,Chapter-11-draft.txt|Chapter-11-draft.tex|chapter-11.tex,NOT_STARTED,,,,,,,,,
ch12-introduction,chapter-introduction,V,12,,Chapter 12 introduction,source/chapters/ch12-numerical-integration-error-and-computation/ch12-numerical-integration-error-and-computation.ptx,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-1-why-approximate-integrals,section,V,12,12.1,Why approximate integrals?,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-1-why-approximate-integrals.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-2-midpoint-and-trapezoidal-rules,section,V,12,12.2,Midpoint and trapezoidal rules,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-2-midpoint-and-trapezoidal-rules.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-3-simpson-s-rule,section,V,12,12.3,Simpson's Rule,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-3-simpson-s-rule.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-4-numerical-differentiation,section,V,12,12.4,Numerical differentiation,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-4-numerical-differentiation.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-5-newton-s-method-revisited,section,V,12,12.5,Newton's method revisited,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-5-newton-s-method-revisited.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-6-computing-experiments,section,V,12,12.6,Computing experiments,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-6-computing-experiments.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
sec-12-7-chapter-review-and-discovery-problems,section,V,12,12.7,Chapter review and discovery problems,source/chapters/ch12-numerical-integration-error-and-computation/sections/sec-12-7-chapter-review-and-discovery-problems.xml,Chapter-12-draft.txt|Chapter-12-draft.tex|chapter-12.tex,NOT_STARTED,,,,,,,,,
ch13-introduction,chapter-introduction,VI,13,,Chapter 13 introduction,source/chapters/ch13-differential-equations-laws-written-as-derivatives/ch13-differential-equations-laws-written-as-derivatives.ptx,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-1-modeling-with-differential-equations,section,VI,13,13.1,Modeling with differential equations,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-1-modeling-with-differential-equations.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-2-direction-fields,section,VI,13,13.2,Direction fields,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-2-direction-fields.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-3-euler-s-method,section,VI,13,13.3,Euler's method,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-3-euler-s-method.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-4-separable-equations,section,VI,13,13.4,Separable equations,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-4-separable-equations.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-5-logistic-and-threshold-models,section,VI,13,13.5,Logistic and threshold models,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-5-logistic-and-threshold-models.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-6-first-order-linear-equations,section,VI,13,13.6,First-order linear equations,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-6-first-order-linear-equations.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-7-second-order-equations-and-vibration,section,VI,13,13.7,Second-order equations and vibration,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-7-second-order-equations-and-vibration.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-8-systems-and-interaction-models,section,VI,13,13.8,Systems and interaction models,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-8-systems-and-interaction-models.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-9-warning-examples,section,VI,13,13.9,Warning examples,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-9-warning-examples.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
sec-13-10-chapter-review-and-applications,section,VI,13,13.10,Chapter review and applications,source/chapters/ch13-differential-equations-laws-written-as-derivatives/sections/sec-13-10-chapter-review-and-applications.xml,Chapter-13.txt|Chapter-13.tex|chapter-13.tex,NOT_STARTED,,,,,,,,,
ch14-introduction,chapter-introduction,VI,14,,Chapter 14 introduction,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/ch14-parametric-curves-polar-coordinates-and-conics.ptx,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-1-parametric-curves,section,VI,14,14.1,Parametric curves,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-1-parametric-curves.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-2-calculus-with-parametric-curves,section,VI,14,14.2,Calculus with parametric curves,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-2-calculus-with-parametric-curves.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-3-length-and-area-for-parametric-curves,section,VI,14,14.3,Length and area for parametric curves,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-3-length-and-area-for-parametric-curves.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-4-polar-coordinates,section,VI,14,14.4,Polar coordinates,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-4-polar-coordinates.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-5-calculus-in-polar-coordinates,section,VI,14,14.5,Calculus in polar coordinates,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-5-calculus-in-polar-coordinates.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-6-conic-sections,section,VI,14,14.6,Conic sections,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-6-conic-sections.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-7-planetary-motion-as-a-capstone,section,VI,14,14.7,Planetary motion as a capstone,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-7-planetary-motion-as-a-capstone.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-8-complex-numbers-and-polar-form,section,VI,14,14.8,Complex numbers and polar form,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-8-complex-numbers-and-polar-form.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-9-warning-examples,section,VI,14,14.9,Warning examples,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-9-warning-examples.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
sec-14-10-chapter-review-and-projects,section,VI,14,14.10,Chapter review and projects,source/chapters/ch14-parametric-curves-polar-coordinates-and-conics/sections/sec-14-10-chapter-review-and-projects.xml,Chapter-14.txt|Chapter-14.tex|chapter-14.tex,NOT_STARTED,,,,,,,,,
ch15-introduction,chapter-introduction,VII,15,,Chapter 15 introduction,source/chapters/ch15-sequences-and-infinite-series/ch15-sequences-and-infinite-series.ptx,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-1-sequences,section,VII,15,15.1,Sequences,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-1-sequences.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-2-infinite-series,section,VII,15,15.2,Infinite series,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-2-infinite-series.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-3-the-harmonic-series-and-first-warnings,section,VII,15,15.3,The harmonic series and first warnings,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-3-the-harmonic-series-and-first-warnings.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-4-positive-series-tests,section,VII,15,15.4,Positive series tests,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-4-positive-series-tests.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-5-alternating-series,section,VII,15,15.5,Alternating series,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-5-alternating-series.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-6-absolute-convergence-and-stronger-tests,section,VII,15,15.6,Absolute convergence and stronger tests,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-6-absolute-convergence-and-stronger-tests.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-7-rearrangement-and-the-danger-of-infinity,section,VII,15,15.7,Rearrangement and the danger of infinity,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-7-rearrangement-and-the-danger-of-infinity.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-8-warning-examples,section,VII,15,15.8,Warning examples,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-8-warning-examples.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
sec-15-9-chapter-review-and-discovery-problems,section,VII,15,15.9,Chapter review and discovery problems,source/chapters/ch15-sequences-and-infinite-series/sections/sec-15-9-chapter-review-and-discovery-problems.xml,Chapter-15.txt|Chapter-15.tex|chapter-15.tex,NOT_STARTED,,,,,,,,,
ch16-introduction,chapter-introduction,VII,16,,Chapter 16 introduction,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/ch16-power-series-taylor-polynomials-and-taylor-series.ptx,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-1-power-series,section,VII,16,16.1,Power series,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-1-power-series.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-2-working-with-power-series,section,VII,16,16.2,Working with power series,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-2-working-with-power-series.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-3-representing-functions-by-power-series,section,VII,16,16.3,Representing functions by power series,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-3-representing-functions-by-power-series.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-4-taylor-polynomials,section,VII,16,16.4,Taylor polynomials,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-4-taylor-polynomials.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-5-taylor-s-theorem-and-remainders,section,VII,16,16.5,Taylor's theorem and remainders,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-5-taylor-s-theorem-and-remainders.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-6-taylor-series-for-elementary-functions,section,VII,16,16.6,Taylor series for elementary functions,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-6-taylor-series-for-elementary-functions.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-7-applications-of-taylor-series,section,VII,16,16.7,Applications of Taylor series,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-7-applications-of-taylor-series.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-8-uniform-convergence-preview,section,VII,16,16.8,Uniform convergence preview,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-8-uniform-convergence-preview.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-9-warning-examples,section,VII,16,16.9,Warning examples,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-9-warning-examples.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
sec-16-10-chapter-review-and-projects,section,VII,16,16.10,Chapter review and projects,source/chapters/ch16-power-series-taylor-polynomials-and-taylor-series/sections/sec-16-10-chapter-review-and-projects.xml,Chapter-16.txt|Chapter-16.tex|chapter-16.tex,NOT_STARTED,,,,,,,,,
ch17-introduction,chapter-introduction,VIII,17,,Chapter 17 introduction,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/ch17-complex-numbers-fourier-ideas-and-the-road-ahead.ptx,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-1-complex-numbers-and-euler-s-formula,section,VIII,17,17.1,Complex numbers and Euler's formula,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-1-complex-numbers-and-euler-s-formula.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-2-vibrations-and-second-order-equations,section,VIII,17,17.2,Vibrations and second-order equations,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-2-vibrations-and-second-order-equations.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-3-fourier-series-preview,section,VIII,17,17.3,Fourier series preview,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-3-fourier-series-preview.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-4-the-one-dimensional-stokes-theorem,section,VIII,17,17.4,The one-dimensional Stokes theorem,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-4-the-one-dimensional-stokes-theorem.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-5-conservation-laws-in-one-dimension,section,VIII,17,17.5,Conservation laws in one dimension,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-5-conservation-laws-in-one-dimension.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-6-least-action-and-the-shape-of-a-path,section,VIII,17,17.6,Least action and the shape of a path,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-6-least-action-and-the-shape-of-a-path.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
sec-17-7-final-projects,section,VIII,17,17.7,Final projects,source/chapters/ch17-complex-numbers-fourier-ideas-and-the-road-ahead/sections/sec-17-7-final-projects.xml,Chapter-17.txt|Chapter-17.tex|chapter-17.tex,NOT_STARTED,,,,,,,,,
appA-introduction,appendix-introduction,backmatter,A,,Appendix A introduction,source/appendices/appA-algebra-and-inequalities-review/appA-algebra-and-inequalities-review.ptx,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
sec-a-1-factoring-and-completing-the-square,appendix-section,backmatter,A,A.1,Factoring and completing the square,source/appendices/appA-algebra-and-inequalities-review/sections/sec-a-1-factoring-and-completing-the-square.xml,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
sec-a-2-rational-expressions,appendix-section,backmatter,A,A.2,Rational expressions,source/appendices/appA-algebra-and-inequalities-review/sections/sec-a-2-rational-expressions.xml,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
sec-a-3-exponents-and-radicals,appendix-section,backmatter,A,A.3,Exponents and radicals,source/appendices/appA-algebra-and-inequalities-review/sections/sec-a-3-exponents-and-radicals.xml,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
sec-a-4-inequalities-and-absolute-values,appendix-section,backmatter,A,A.4,Inequalities and absolute values,source/appendices/appA-algebra-and-inequalities-review/sections/sec-a-4-inequalities-and-absolute-values.xml,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
sec-a-5-sigma-notation-practice,appendix-section,backmatter,A,A.5,Sigma notation practice,source/appendices/appA-algebra-and-inequalities-review/sections/sec-a-5-sigma-notation-practice.xml,Appendix-A.tex|Appendix-A.txt|appendix-a.tex,NOT_STARTED,,,,,,,,,
appB-introduction,appendix-introduction,backmatter,B,,Appendix B introduction,source/appendices/appB-coordinate-geometry/appB-coordinate-geometry.ptx,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
sec-b-1-lines,appendix-section,backmatter,B,B.1,Lines,source/appendices/appB-coordinate-geometry/sections/sec-b-1-lines.xml,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
sec-b-2-circles,appendix-section,backmatter,B,B.2,Circles,source/appendices/appB-coordinate-geometry/sections/sec-b-2-circles.xml,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
sec-b-3-parabolas-ellipses-and-hyperbolas,appendix-section,backmatter,B,B.3,"Parabolas, ellipses, and hyperbolas",source/appendices/appB-coordinate-geometry/sections/sec-b-3-parabolas-ellipses-and-hyperbolas.xml,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
sec-b-4-distance-and-midpoint-formulas,appendix-section,backmatter,B,B.4,Distance and midpoint formulas,source/appendices/appB-coordinate-geometry/sections/sec-b-4-distance-and-midpoint-formulas.xml,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
sec-b-5-scaling-and-shifting-graphs,appendix-section,backmatter,B,B.5,Scaling and shifting graphs,source/appendices/appB-coordinate-geometry/sections/sec-b-5-scaling-and-shifting-graphs.xml,Appendix-B.tex|Appendix-B.txt|appendix-b.tex,NOT_STARTED,,,,,,,,,
appC-introduction,appendix-introduction,backmatter,C,,Appendix C introduction,source/appendices/appC-trigonometry-in-radians/appC-trigonometry-in-radians.ptx,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
sec-c-1-unit-circle-definitions,appendix-section,backmatter,C,C.1,Unit circle definitions,source/appendices/appC-trigonometry-in-radians/sections/sec-c-1-unit-circle-definitions.xml,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
sec-c-2-basic-identities,appendix-section,backmatter,C,C.2,Basic identities,source/appendices/appC-trigonometry-in-radians/sections/sec-c-2-basic-identities.xml,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
sec-c-3-addition-formulas,appendix-section,backmatter,C,C.3,Addition formulas,source/appendices/appC-trigonometry-in-radians/sections/sec-c-3-addition-formulas.xml,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
sec-c-4-inverse-trigonometric-functions,appendix-section,backmatter,C,C.4,Inverse trigonometric functions,source/appendices/appC-trigonometry-in-radians/sections/sec-c-4-inverse-trigonometric-functions.xml,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
sec-c-5-trigonometric-equations,appendix-section,backmatter,C,C.5,Trigonometric equations,source/appendices/appC-trigonometry-in-radians/sections/sec-c-5-trigonometric-equations.xml,Appendix-C.tex|Appendix-C.txt|appendix-c.tex,NOT_STARTED,,,,,,,,,
appD-introduction,appendix-introduction,backmatter,D,,Appendix D introduction,source/appendices/appD-proofs-and-completeness/appD-proofs-and-completeness.ptx,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
sec-d-1-least-upper-bound-property,appendix-section,backmatter,D,D.1,Least upper bound property,source/appendices/appD-proofs-and-completeness/sections/sec-d-1-least-upper-bound-property.xml,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
sec-d-2-monotone-convergence-theorem,appendix-section,backmatter,D,D.2,Monotone convergence theorem,source/appendices/appD-proofs-and-completeness/sections/sec-d-2-monotone-convergence-theorem.xml,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
sec-d-3-bolzano-s-theorem-and-bisection,appendix-section,backmatter,D,D.3,Bolzano's theorem and bisection,source/appendices/appD-proofs-and-completeness/sections/sec-d-3-bolzano-s-theorem-and-bisection.xml,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
sec-d-4-extreme-value-theorem-proof-outline,appendix-section,backmatter,D,D.4,Extreme Value Theorem proof outline,source/appendices/appD-proofs-and-completeness/sections/sec-d-4-extreme-value-theorem-proof-outline.xml,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
sec-d-5-uniform-continuity-on-closed-intervals,appendix-section,backmatter,D,D.5,Uniform continuity on closed intervals,source/appendices/appD-proofs-and-completeness/sections/sec-d-5-uniform-continuity-on-closed-intervals.xml,Appendix-D.tex|Appendix-D.txt|appendix-d.tex,NOT_STARTED,,,,,,,,,
appE-introduction,appendix-introduction,backmatter,E,,Appendix E introduction,source/appendices/appE-technology-notes/appE-technology-notes.ptx,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
sec-e-1-graphing-windows,appendix-section,backmatter,E,E.1,Graphing windows,source/appendices/appE-technology-notes/sections/sec-e-1-graphing-windows.xml,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
sec-e-2-numerical-precision-and-roundoff,appendix-section,backmatter,E,E.2,Numerical precision and roundoff,source/appendices/appE-technology-notes/sections/sec-e-2-numerical-precision-and-roundoff.xml,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
sec-e-3-calculator-and-cas-syntax,appendix-section,backmatter,E,E.3,Calculator and CAS syntax,source/appendices/appE-technology-notes/sections/sec-e-3-calculator-and-cas-syntax.xml,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
sec-e-4-simple-python-experiments-for-calculus,appendix-section,backmatter,E,E.4,Simple Python experiments for calculus,source/appendices/appE-technology-notes/sections/sec-e-4-simple-python-experiments-for-calculus.xml,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
sec-e-5-plotting-sequences-sums-and-taylor-polynomials,appendix-section,backmatter,E,E.5,"Plotting sequences, sums, and Taylor polynomials",source/appendices/appE-technology-notes/sections/sec-e-5-plotting-sequences-sums-and-taylor-polynomials.xml,Appendix-E.tex|Appendix-E.txt|appendix-e.tex,NOT_STARTED,,,,,,,,,
